,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%, ,eFG%,TOV%,ORB%,FT/FGA, .1,eFG%.1,TOV%.1,DRB%,FT/FGA.1, .2,Arena,Attend.,Attend./G,Year
673,Toronto Raptors*,26.1,51.0,31.0,52,30,4.21,-0.56,3.65,112.3,107.8,4.5,94.7,0.293,0.289,0.561,,0.517,11.8,25.0,0.233,,0.507,13.5,76.3,0.223,,Air Canada Centre,"813,050","19,830",2017
674,Los Angeles Clippers*,30.0,51.0,31.0,52,30,4.29,0.13,4.42,112.7,108.2,4.5,96.1,0.312,0.329,0.574,,0.537,12.0,21.5,0.233,,0.506,12.1,76.9,0.211,,STAPLES Center,"782,609","19,088",2017
675,Utah Jazz*,26.8,51.0,31.0,52,30,3.94,0.06,4.0,109.6,105.3,4.3,91.6,0.288,0.327,0.563,,0.526,13.2,23.2,0.215,,0.493,11.8,78.9,0.195,,Vivint Smart Home Arena,"806,142","19,662",2017
676,Cleveland Cavaliers*,29.2,51.0,31.0,49,33,3.18,-0.31,2.87,113.6,110.3,3.3,96.2,0.275,0.399,0.58,,0.547,12.6,21.9,0.206,,0.516,11.4,75.8,0.174,,Quicken Loans Arena,"843,042","20,562",2017
677,Boston Celtics*,25.9,53.0,29.0,48,34,2.63,-0.39,2.25,111.2,108.4,2.8,96.8,0.273,0.393,0.567,,0.525,12.2,21.2,0.22,,0.503,12.6,75.3,0.223,,TD Garden,"760,690","18,553",2017
678,Washington Wizards*,26.0,49.0,33.0,46,36,1.8,-0.45,1.36,111.2,109.3,1.9,97.4,0.254,0.284,0.564,,0.528,12.8,24.1,0.199,,0.524,13.8,75.5,0.213,,Verizon Center,"697,107","17,003",2017
679,Miami Heat,26.5,41.0,41.0,44,38,1.06,-0.29,0.77,107.8,106.7,1.1,95.2,0.251,0.314,0.541,,0.512,12.4,24.2,0.177,,0.496,12.6,76.4,0.22,,AmericanAirlines Arena,"805,400","19,644",2017
680,Oklahoma City Thunder*,24.7,47.0,35.0,43,39,0.76,0.39,1.14,108.3,107.5,0.8,97.8,0.295,0.295,0.54,,0.5,13.2,27.9,0.22,,0.511,12.5,79.0,0.218,,Chesapeake Energy Arena,"746,323","18,203",2017
681,Memphis Grizzlies*,29.5,43.0,39.0,42,40,0.49,0.47,0.96,107.7,107.1,0.6,92.3,0.28,0.316,0.535,,0.491,12.1,24.8,0.219,,0.506,13.6,77.5,0.256,,FedEx Forum,"677,314","16,520",2017
682,Denver Nuggets,25.2,40.0,42.0,42,40,0.51,0.19,0.7,113.2,112.7,0.5,98.3,0.276,0.329,0.568,,0.53,13.2,27.3,0.214,,0.532,10.9,78.7,0.194,,Pepsi Center,"605,585","14,672",2017
683,Chicago Bulls*,26.9,41.0,41.0,42,40,0.43,-0.39,0.03,107.4,107.0,0.4,95.3,0.259,0.256,0.53,,0.487,12.3,27.0,0.206,,0.507,12.4,76.8,0.169,,United Center,"888,882","21,680",2017
684,Charlotte Hornets,26.5,36.0,46.0,42,40,0.2,-0.26,-0.07,108.8,108.6,0.2,95.7,0.279,0.335,0.547,,0.501,10.7,19.9,0.227,,0.523,12.1,79.6,0.164,,Spectrum Center,"710,643","17,333",2017
685,Indiana Pacers*,27.0,42.0,40.0,40,42,-0.22,-0.42,-0.64,108.6,108.8,-0.2,95.9,0.261,0.272,0.558,,0.516,12.8,21.2,0.212,,0.512,13.6,75.5,0.225,,Bankers Life Fieldhouse,"684,578","16,697",2017
686,Milwaukee Bucks*,25.6,42.0,40.0,40,42,-0.18,-0.26,-0.45,109.1,109.3,-0.2,94.5,0.274,0.29,0.565,,0.527,13.2,21.5,0.21,,0.518,13.6,75.4,0.215,,BMO Harris Bradley Center,"648,952","15,828",2017
687,Portland Trail Blazers*,24.8,41.0,41.0,40,42,-0.52,0.3,-0.23,110.3,110.8,-0.5,96.7,0.275,0.322,0.559,,0.52,12.5,23.0,0.214,,0.508,11.6,76.8,0.241,,Moda Center,"792,029","19,318",2017
688,Atlanta Hawks*,27.9,43.0,39.0,39,43,-0.85,-0.38,-1.23,104.9,105.7,-0.8,97.4,0.295,0.309,0.541,,0.504,14.2,23.6,0.215,,0.507,13.8,76.1,0.179,,Philips Arena,"654,306","15,959",2017
689,Detroit Pistons,25.4,37.0,45.0,38,44,-1.12,-0.17,-1.29,106.0,107.1,-1.1,95.0,0.218,0.263,0.521,,0.492,10.9,24.1,0.157,,0.516,12.1,81.2,0.197,,The Palace of Auburn Hills,"655,141","15,979",2017
690,Minnesota Timberwolves,24.0,31.0,51.0,38,44,-1.11,0.47,-0.64,110.8,112.0,-1.2,94.6,0.287,0.249,0.555,,0.511,12.9,27.2,0.229,,0.535,13.2,75.9,0.212,,Target Center,"607,203","14,810",2017
691,New Orleans Pelicans,25.7,34.0,48.0,35,47,-2.1,0.41,-1.69,105.2,107.4,-2.2,98.0,0.256,0.308,0.539,,0.504,11.7,18.5,0.192,,0.509,12.4,76.8,0.177,,Smoothie King Center,"663,099","16,173",2017
692,Dallas Mavericks,27.6,33.0,49.0,33,49,-2.93,0.4,-2.53,105.6,108.8,-3.2,92.2,0.225,0.366,0.541,,0.505,11.6,18.1,0.18,,0.529,14.4,77.6,0.218,,American Airlines Center,"811,366","19,789",2017
693,New York Knicks,27.3,31.0,51.0,31,51,-3.67,-0.2,-3.87,107.7,111.5,-3.8,96.0,0.239,0.279,0.534,,0.496,12.4,26.6,0.188,,0.511,11.7,74.1,0.214,,Madison Square Garden (IV),"810,741","19,774",2017
694,Sacramento Kings,27.9,32.0,50.0,31,51,-3.88,0.58,-3.29,107.3,111.3,-4.0,94.9,0.284,0.291,0.556,,0.516,13.7,21.0,0.22,,0.528,12.9,76.3,0.227,,Golden 1 Center,"721,928","17,608",2017
695,Phoenix Suns,25.0,24.0,58.0,27,55,-5.63,0.49,-5.14,106.6,112.2,-5.6,100.3,0.297,0.255,0.538,,0.493,13.4,26.0,0.231,,0.525,13.1,76.4,0.264,,Talking Stick Resort Arena,"708,639","17,134",2017
696,Philadelphia 76ers,24.6,28.0,54.0,26,56,-5.7,-0.14,-5.83,103.2,108.9,-5.7,98.5,0.258,0.349,0.539,,0.501,14.9,22.4,0.199,,0.512,13.5,75.3,0.234,,Wells Fargo Center,"710,557","17,331",2017
697,Brooklyn Nets,26.0,20.0,62.0,24,58,-6.73,-0.01,-6.74,104.1,110.7,-6.6,101.3,0.289,0.371,0.551,,0.507,14.7,19.6,0.228,,0.513,11.6,76.1,0.212,,Barclays Center,"632,608","15,429",2017
698,Orlando Magic,25.3,29.0,53.0,24,58,-6.57,-0.04,-6.61,103.7,110.5,-6.8,96.8,0.246,0.3,0.524,,0.489,12.1,21.6,0.184,,0.523,11.9,77.4,0.201,,Amway Center,"727,875","17,753",2017
699,Los Angeles Lakers,25.1,26.0,56.0,24,58,-6.88,0.58,-6.29,106.0,113.0,-7.0,98.5,0.259,0.295,0.537,,0.501,13.5,25.0,0.195,,0.542,13.0,75.8,0.213,,STAPLES Center,"776,917","18,949",2017
700,League Average,26.6,,,41,41,0.0,0.0,0.0,108.8,108.8,,96.4,0.271,0.316,0.552,,0.514,12.7,23.3,0.209,,0.514,12.7,76.7,0.209,,,"733,247","17,880",2017
701,Houston Rockets*,29.8,65.0,17.0,61,21,8.48,-0.27,8.21,114.7,106.1,8.6,97.6,0.298,0.502,0.59,,0.551,12.7,21.3,0.233,,0.521,13.4,79.9,0.171,,Toyota Center,"732,722","17,871",2018
702,Toronto Raptors*,25.8,59.0,23.0,60,22,7.78,-0.49,7.29,113.8,105.9,7.9,97.4,0.25,0.377,0.575,,0.539,12.1,23.0,0.198,,0.501,13.0,77.7,0.212,,Air Canada Centre,"813,431","19,840",2018
703,Golden State Warriors*,28.8,58.0,24.0,56,26,5.98,-0.19,5.79,113.6,107.6,6.0,99.6,0.239,0.339,0.603,,0.569,14.1,21.0,0.195,,0.504,12.6,76.3,0.186,,Oracle Arena,"803,436","19,596",2018
704,Utah Jazz*,26.7,48.0,34.0,53,29,4.3,0.17,4.47,108.4,103.9,4.5,95.7,0.26,0.357,0.564,,0.527,13.7,21.5,0.202,,0.506,14.0,79.8,0.19,,Vivint Smart Home Arena,"734,806","17,922",2018
705,Philadelphia 76ers*,25.8,52.0,30.0,53,29,4.5,-0.2,4.3,109.5,105.0,4.5,99.8,0.263,0.344,0.568,,0.535,14.6,25.3,0.198,,0.492,12.6,78.6,0.218,,Wells Fargo Center,"833,503","20,361",2018
706,Boston Celtics*,24.7,55.0,27.0,51,31,3.59,-0.35,3.23,107.6,103.9,3.7,96.0,0.243,0.357,0.552,,0.518,13.0,21.5,0.188,,0.495,13.0,78.4,0.191,,TD Garden,"763,584","18,624",2018
707,Oklahoma City Thunder*,27.3,48.0,34.0,50,32,3.41,0.0,3.42,110.7,107.2,3.5,96.7,0.275,0.345,0.546,,0.514,12.4,27.7,0.197,,0.525,14.7,77.4,0.193,,Chesapeake Energy Arena,"746,322","18,203",2018
708,San Antonio Spurs*,29.3,47.0,35.0,49,33,2.89,0.0,2.89,107.9,104.8,3.1,95.0,0.245,0.282,0.543,,0.507,12.2,23.7,0.189,,0.507,13.2,78.6,0.17,,AT&T Center,"754,562","18,404",2018
709,Portland Trail Blazers*,25.6,49.0,33.0,48,34,2.6,0.0,2.6,109.1,106.4,2.7,96.5,0.24,0.324,0.549,,0.511,12.3,23.3,0.192,,0.503,11.7,79.1,0.193,,Moda Center,"795,750","19,409",2018
710,Minnesota Timberwolves*,27.1,47.0,35.0,47,35,2.23,0.12,2.35,113.4,111.1,2.3,96.0,0.28,0.261,0.566,,0.523,11.4,24.4,0.225,,0.539,13.9,76.4,0.189,,Target Center,"699,308","17,056",2018
711,Denver Nuggets,25.1,46.0,36.0,45,37,1.48,0.09,1.57,112.5,111.0,1.5,96.8,0.258,0.357,0.57,,0.536,13.4,25.7,0.198,,0.539,12.6,77.5,0.173,,Pepsi Center,"702,796","17,141",2018
712,Indiana Pacers*,26.2,48.0,34.0,45,37,1.38,-0.2,1.18,109.5,108.1,1.4,96.0,0.222,0.284,0.557,,0.525,12.3,22.7,0.173,,0.527,14.2,76.2,0.174,,Bankers Life Fieldhouse,"658,119","16,052",2018
713,New Orleans Pelicans*,27.6,48.0,34.0,44,38,1.3,0.18,1.48,109.6,108.3,1.3,100.5,0.237,0.319,0.573,,0.541,13.3,20.0,0.183,,0.513,12.5,76.7,0.175,,Smoothie King Center,"673,920","16,437",2018
714,Cleveland Cavaliers*,30.6,50.0,32.0,43,39,0.94,-0.35,0.59,112.9,111.9,1.0,98.0,0.275,0.379,0.584,,0.547,12.6,20.1,0.214,,0.54,12.2,77.3,0.166,,Quicken Loans Arena,"843,042","20,562",2018
715,Washington Wizards*,26.9,43.0,39.0,43,39,0.59,-0.06,0.53,109.3,108.7,0.6,96.6,0.254,0.31,0.56,,0.525,13.3,23.5,0.196,,0.522,13.6,77.1,0.212,,Capital One Arena,"739,302","18,032",2018
716,Miami Heat*,26.5,44.0,38.0,42,40,0.48,-0.33,0.15,106.8,106.3,0.5,95.6,0.229,0.358,0.551,,0.52,13.3,21.5,0.173,,0.507,13.1,79.0,0.215,,AmericanAirlines Arena,"804,850","19,630",2018
717,Charlotte Hornets,26.6,36.0,46.0,42,40,0.26,-0.19,0.07,109.4,109.1,0.3,98.4,0.312,0.314,0.549,,0.508,11.4,22.2,0.233,,0.532,12.4,80.7,0.165,,Spectrum Center,"671,404","16,376",2018
718,Los Angeles Clippers,27.0,42.0,40.0,41,41,0.04,0.11,0.15,110.3,110.2,0.1,98.7,0.299,0.314,0.564,,0.527,13.2,23.5,0.222,,0.52,12.6,76.1,0.203,,STAPLES Center,"697,812","17,020",2018
719,Detroit Pistons,25.9,39.0,43.0,41,41,-0.15,-0.11,-0.26,107.2,107.3,-0.1,96.2,0.227,0.333,0.543,,0.512,12.3,22.7,0.169,,0.524,13.7,78.5,0.172,,Little Caesars Arena,"713,945","17,413",2018
720,Milwaukee Bucks*,25.9,44.0,38.0,40,42,-0.3,-0.15,-0.45,109.8,110.1,-0.3,96.2,0.281,0.297,0.571,,0.531,12.9,20.4,0.22,,0.528,14.2,75.9,0.22,,BMO Harris Bradley Center,"685,303","16,856",2018
721,Los Angeles Lakers,23.7,35.0,47.0,37,45,-1.55,0.11,-1.44,106.5,108.0,-1.5,100.3,0.264,0.329,0.548,,0.517,13.8,23.6,0.188,,0.514,12.5,77.7,0.19,,STAPLES Center,"776,327","18,935",2018
722,Dallas Mavericks,27.7,24.0,58.0,33,49,-3.04,0.34,-2.7,106.3,109.5,-3.2,95.6,0.217,0.382,0.544,,0.513,11.6,18.0,0.166,,0.532,12.9,78.9,0.193,,American Airlines Center,"811,453","19,792",2018
723,New York Knicks,26.3,29.0,53.0,32,50,-3.56,0.03,-3.53,107.1,110.7,-3.6,96.8,0.216,0.266,0.544,,0.51,13.3,24.1,0.17,,0.522,12.2,76.7,0.208,,Madison Square Garden (IV),"792,608","19,332",2018
724,Brooklyn Nets,25.1,28.0,54.0,31,51,-3.74,0.07,-3.67,106.9,110.6,-3.7,98.9,0.26,0.411,0.551,,0.514,13.6,21.0,0.201,,0.517,11.0,77.0,0.201,,Barclays Center,"640,010","15,376",2018
725,Orlando Magic,25.6,25.0,57.0,28,54,-4.82,-0.1,-4.92,105.2,110.1,-4.9,98.1,0.238,0.342,0.545,,0.512,13.3,20.0,0.18,,0.525,12.8,75.6,0.187,,Amway Center,"734,531","17,915",2018
726,Atlanta Hawks,25.4,24.0,58.0,27,55,-5.45,0.15,-5.3,105.0,110.6,-5.6,98.3,0.236,0.363,0.547,,0.512,14.1,21.1,0.185,,0.536,13.6,76.2,0.183,,Philips Arena,"590,769","14,409",2018
727,Memphis Grizzlies,26.0,22.0,60.0,25,57,-6.21,0.39,-5.81,104.5,111.0,-6.5,94.9,0.255,0.317,0.539,,0.5,14.0,22.4,0.201,,0.529,13.8,76.5,0.256,,FedEx Forum,"653,863","15,948",2018
728,Chicago Bulls,24.4,27.0,55.0,23,59,-7.04,0.2,-6.84,103.8,110.9,-7.1,98.3,0.216,0.35,0.529,,0.497,12.6,20.6,0.164,,0.542,12.4,80.6,0.184,,United Center,"851,824","20,776",2018
729,Sacramento Kings,26.4,27.0,55.0,23,59,-6.99,0.39,-6.6,103.7,111.1,-7.4,94.9,0.194,0.278,0.529,,0.502,12.8,21.5,0.143,,0.542,13.5,77.6,0.199,,Golden 1 Center,"714,680","17,431",2018
730,Phoenix Suns,23.7,21.0,61.0,19,63,-9.37,0.57,-8.8,103.5,112.8,-9.3,100.3,0.275,0.32,0.532,,0.495,13.9,22.5,0.203,,0.533,11.9,76.5,0.212,,Talking Stick Resort Arena,"690,576","16,843",2018
731,League Average,26.6,,,41,41,0.0,0.0,0.0,108.6,108.6,,97.3,0.252,0.337,0.556,,0.521,13.0,22.3,0.193,,0.521,13.0,77.7,0.193,,,"737,485","17,989",2018
732,Milwaukee Bucks*,26.9,60.0,22.0,61,21,8.87,-0.82,8.04,113.8,105.2,8.6,103.3,0.255,0.419,0.583,,0.55,12.0,20.8,0.197,,0.503,11.5,80.3,0.162,,Fiserv Forum,"721,692","17,602",2019
733,Golden State Warriors*,28.4,57.0,25.0,56,26,6.46,-0.04,6.42,115.9,109.5,6.4,100.9,0.227,0.384,0.596,,0.565,12.6,22.5,0.182,,0.508,11.7,77.1,0.205,,Oracle Arena,"803,436","19,596",2019
734,Toronto Raptors*,27.3,58.0,24.0,56,26,6.09,-0.6,5.49,113.1,107.1,6.0,100.2,0.247,0.379,0.579,,0.543,12.4,21.9,0.198,,0.509,13.1,77.1,0.19,,Scotiabank Arena,"812,822","19,825",2019
735,Utah Jazz*,27.3,50.0,32.0,54,28,5.26,0.03,5.28,110.9,105.7,5.2,100.3,0.295,0.394,0.572,,0.538,13.4,22.9,0.217,,0.507,12.4,80.3,0.189,,Vivint Smart Home Arena,"750,546","18,306",2019
736,Houston Rockets*,29.2,53.0,29.0,53,29,4.77,0.19,4.96,115.5,110.7,4.8,97.9,0.279,0.519,0.581,,0.542,12.0,22.8,0.221,,0.525,13.4,74.4,0.21,,Toyota Center,"740,392","18,058",2019
737,Boston Celtics*,25.7,49.0,33.0,52,30,4.44,-0.54,3.9,112.7,108.3,4.4,99.2,0.215,0.381,0.567,,0.534,11.1,21.6,0.173,,0.514,13.0,77.0,0.198,,TD Garden,"763,584","18,624",2019
738,Portland Trail Blazers*,26.2,53.0,29.0,51,31,4.2,0.24,4.43,114.7,110.5,4.2,99.1,0.258,0.339,0.568,,0.528,12.1,26.6,0.21,,0.516,11.0,77.9,0.195,,Moda Center,"799,345","19,496",2019
739,Denver Nuggets*,24.9,54.0,28.0,51,31,3.95,0.24,4.19,113.0,108.9,4.1,97.7,0.232,0.348,0.558,,0.527,11.9,26.6,0.175,,0.521,12.3,78.0,0.194,,Pepsi Center,"756,457","18,450",2019
740,Indiana Pacers*,27.0,48.0,34.0,50,32,3.33,-0.57,2.76,109.9,106.5,3.4,98.1,0.242,0.292,0.561,,0.53,12.4,21.9,0.182,,0.516,14.1,76.2,0.184,,Bankers Life Fieldhouse,"689,310","16,812",2019
741,Oklahoma City Thunder*,25.7,49.0,33.0,50,32,3.4,0.15,3.56,110.3,107.0,3.3,102.8,0.266,0.347,0.545,,0.514,11.7,26.0,0.19,,0.523,14.4,78.2,0.206,,Chesapeake Energy Arena,"746,323","18,203",2019
742,Philadelphia 76ers*,26.4,51.0,31.0,48,34,2.7,-0.44,2.25,112.6,110.0,2.6,101.6,0.312,0.342,0.574,,0.532,12.9,24.5,0.241,,0.512,11.1,78.6,0.206,,Wells Fargo Center,"838,342","20,447",2019
743,San Antonio Spurs*,28.8,48.0,34.0,45,37,1.68,0.12,1.8,112.9,111.2,1.7,98.3,0.237,0.286,0.572,,0.534,11.0,21.0,0.194,,0.528,11.0,79.4,0.17,,AT&T Center,"750,616","18,308",2019
744,Los Angeles Clippers*,27.2,48.0,34.0,43,39,0.85,0.23,1.09,112.4,111.5,0.9,101.7,0.326,0.295,0.575,,0.529,12.7,22.0,0.258,,0.514,11.4,76.0,0.224,,STAPLES Center,"710,327","17,325",2019
745,Orlando Magic*,25.7,42.0,40.0,43,39,0.71,-0.43,0.28,108.9,108.1,0.8,98.1,0.216,0.36,0.55,,0.518,11.9,22.0,0.168,,0.515,11.8,79.7,0.186,,Amway Center,"720,024","17,431",2019
746,Brooklyn Nets*,25.4,42.0,40.0,41,41,-0.07,-0.33,-0.4,109.6,109.7,-0.1,100.8,0.284,0.403,0.556,,0.52,13.0,23.8,0.211,,0.512,11.6,76.4,0.19,,Barclays Center,"612,597","14,941",2019
747,Detroit Pistons*,26.9,41.0,41.0,40,42,-0.24,-0.31,-0.56,109.0,109.2,-0.2,97.4,0.262,0.394,0.544,,0.509,12.3,24.8,0.195,,0.526,12.8,78.7,0.211,,Little Caesars Arena,"675,963","16,487",2019
748,Miami Heat,27.0,39.0,43.0,40,42,-0.23,-0.22,-0.45,107.3,107.6,-0.3,98.2,0.247,0.368,0.542,,0.515,13.1,24.8,0.172,,0.51,12.7,77.6,0.201,,AmericanAirlines Arena,"805,264","19,641",2019
749,Sacramento Kings,24.8,39.0,43.0,38,44,-1.12,0.31,-0.81,110.4,111.5,-1.1,103.1,0.244,0.321,0.554,,0.524,11.5,23.1,0.177,,0.533,13.6,75.5,0.207,,Golden 1 Center,"700,975","17,097",2019
750,Charlotte Hornets,26.6,39.0,43.0,38,44,-1.1,-0.22,-1.32,111.4,112.5,-1.1,98.7,0.257,0.378,0.554,,0.514,10.9,21.7,0.205,,0.538,12.1,77.1,0.179,,Spectrum Center,"676,570","16,502",2019
751,New Orleans Pelicans,25.7,33.0,49.0,38,44,-1.33,0.23,-1.1,111.4,112.6,-1.2,103.3,0.254,0.324,0.563,,0.529,12.6,24.1,0.193,,0.532,11.6,76.8,0.193,,Smoothie King Center,"656,183","16,004",2019
752,Dallas Mavericks,26.9,33.0,49.0,38,44,-1.28,0.42,-0.87,109.4,110.7,-1.3,99.0,0.291,0.422,0.555,,0.519,12.7,22.7,0.216,,0.522,11.6,77.5,0.191,,American Airlines Center,"820,569","20,014",2019
753,Minnesota Timberwolves,26.2,36.0,46.0,37,45,-1.5,0.48,-1.02,111.4,112.9,-1.5,100.2,0.267,0.315,0.552,,0.511,11.4,24.6,0.21,,0.538,12.9,74.9,0.19,,Target Center,"627,543","15,306",2019
754,Los Angeles Lakers,26.2,37.0,45.0,37,45,-1.72,0.39,-1.33,107.8,109.5,-1.7,103.2,0.257,0.342,0.554,,0.527,13.4,22.2,0.18,,0.516,12.2,76.4,0.192,,STAPLES Center,"778,877","18,997",2019
755,Memphis Grizzlies,27.7,33.0,49.0,34,48,-2.6,0.51,-2.08,106.1,108.8,-2.7,96.6,0.272,0.342,0.548,,0.508,12.9,20.0,0.21,,0.521,13.9,77.6,0.232,,FedEx Forum,"638,332","15,569",2019
756,Washington Wizards,26.5,32.0,50.0,34,48,-2.9,-0.4,-3.3,111.1,113.9,-2.8,101.4,0.266,0.37,0.567,,0.531,12.3,21.3,0.204,,0.546,13.5,74.1,0.199,,Capital One Arena,"716,996","17,448",2019
757,Atlanta Hawks,25.1,29.0,53.0,27,55,-6.02,-0.04,-6.06,108.1,113.9,-5.8,103.9,0.255,0.403,0.555,,0.522,14.3,24.7,0.192,,0.541,12.8,76.4,0.237,,State Farm Arena,"628,440","15,328",2019
758,Chicago Bulls,24.0,22.0,60.0,21,61,-8.41,0.1,-8.32,104.8,113.2,-8.4,99.0,0.235,0.295,0.541,,0.505,12.7,19.4,0.184,,0.541,11.9,77.3,0.188,,United Center,"823,475","20,085",2019
759,New York Knicks,23.4,17.0,65.0,19,63,-9.21,0.28,-8.93,104.5,113.7,-9.2,99.6,0.27,0.334,0.529,,0.49,12.4,22.1,0.205,,0.533,11.7,76.1,0.203,,Madison Square Garden (IV),"779,087","19,002",2019
760,Phoenix Suns,24.0,19.0,63.0,19,63,-9.34,0.73,-8.61,105.9,115.1,-9.2,100.5,0.259,0.335,0.552,,0.514,13.8,20.5,0.202,,0.545,13.5,72.5,0.236,,Talking Stick Resort Arena,"627,023","15,293",2019
761,Cleveland Cavaliers,25.2,19.0,63.0,19,63,-9.61,0.22,-9.39,107.7,117.6,-9.9,96.6,0.236,0.332,0.54,,0.503,12.2,23.7,0.187,,0.564,11.5,77.0,0.181,,Quicken Loans Arena,"793,337","19,350",2019
762,League Average,26.4,,,41,41,0.0,0.0,0.0,110.4,110.4,,100.0,0.259,0.359,0.56,,0.524,12.4,22.9,0.198,,0.524,12.4,77.1,0.198,,,"732,148","17,853",2019
763,Milwaukee Bucks*,29.2,56.0,17.0,57,16,10.08,-0.67,9.41,112.4,102.9,9.5,105.1,0.271,0.428,0.583,,0.552,12.9,20.7,0.201,,0.489,12.0,81.6,0.178,,Fiserv Forum,"549,036","17,711",2020
764,Boston Celtics*,25.3,48.0,24.0,50,22,6.31,-0.47,5.83,113.3,107.0,6.3,99.5,0.259,0.386,0.57,,0.531,12.2,23.9,0.207,,0.509,13.5,77.4,0.215,,TD Garden,"610,864","19,090",2020
765,Los Angeles Clippers*,27.4,49.0,23.0,50,22,6.44,0.21,6.66,113.9,107.6,6.3,101.5,0.295,0.375,0.577,,0.535,12.6,23.5,0.233,,0.506,12.2,77.6,0.206,,STAPLES Center,"610,176","19,068",2020
766,Toronto Raptors*,26.6,53.0,19.0,50,22,6.24,-0.26,5.97,111.1,105.0,6.1,100.9,0.264,0.421,0.574,,0.536,13.1,21.3,0.21,,0.502,14.6,76.7,0.202,,Scotiabank Arena,"633,456","19,796",2020
767,Los Angeles Lakers*,29.5,52.0,19.0,48,23,5.79,0.49,6.28,112.0,106.3,5.7,100.9,0.276,0.358,0.573,,0.542,13.3,24.5,0.201,,0.515,14.1,78.8,0.205,,STAPLES Center,"588,907","18,997",2020
768,Dallas Mavericks*,26.1,43.0,32.0,49,26,4.95,-0.07,4.87,116.7,111.7,5.0,99.3,0.264,0.457,0.581,,0.545,11.2,23.2,0.206,,0.525,10.6,77.7,0.175,,American Airlines Center,"682,096","20,062",2020
769,Miami Heat*,25.9,44.0,29.0,43,30,2.95,-0.35,2.59,112.5,109.5,3.0,98.3,0.299,0.419,0.587,,0.547,13.5,20.3,0.234,,0.523,12.6,79.5,0.213,,AmericanAirlines Arena,"629,771","19,680",2020
770,Houston Rockets*,29.2,44.0,28.0,42,30,2.96,0.17,3.13,112.9,110.1,2.8,103.7,0.288,0.501,0.578,,0.537,12.6,21.0,0.228,,0.529,13.7,75.6,0.197,,Toyota Center,"578,458","18,077",2020
771,Utah Jazz*,27.3,44.0,28.0,42,30,2.47,0.05,2.52,112.3,109.9,2.4,98.6,0.268,0.414,0.585,,0.549,13.7,21.6,0.208,,0.518,11.1,78.9,0.185,,Vivint Smart Home Arena,"567,486","18,306",2020
772,Philadelphia 76ers*,26.3,43.0,30.0,42,31,2.38,-0.13,2.25,111.3,109.0,2.3,99.0,0.255,0.36,0.566,,0.534,12.7,23.9,0.193,,0.523,12.5,80.3,0.214,,Wells Fargo Center,"639,491","20,629",2020
773,Denver Nuggets*,25.6,46.0,27.0,41,32,2.11,0.24,2.35,113.1,111.0,2.1,97.1,0.235,0.344,0.567,,0.535,12.3,24.8,0.183,,0.533,12.9,76.8,0.198,,Pepsi Center,"633,153","19,186",2020
774,Indiana Pacers*,25.6,45.0,28.0,41,32,1.96,-0.33,1.63,110.0,108.0,2.0,98.9,0.216,0.317,0.565,,0.534,12.0,20.0,0.17,,0.511,13.0,76.7,0.192,,Bankers Life Fieldhouse,"529,002","16,531",2020
775,Oklahoma City Thunder*,25.5,44.0,28.0,41,31,1.99,0.34,2.33,110.8,108.8,2.0,98.8,0.29,0.353,0.573,,0.53,12.4,19.3,0.231,,0.518,12.6,76.8,0.173,,Chesapeake Energy Arena,"600,699","18,203",2020
776,Phoenix Suns,24.6,34.0,39.0,37,36,0.22,0.35,0.56,111.7,111.4,0.3,101.3,0.271,0.361,0.576,,0.532,13.0,22.2,0.226,,0.539,13.7,78.8,0.221,,Talking Stick Resort Arena,"550,633","15,606",2020
777,Brooklyn Nets*,26.3,35.0,37.0,35,37,-0.57,-0.44,-1.01,108.9,109.5,-0.6,101.4,0.267,0.423,0.554,,0.52,13.1,23.2,0.199,,0.511,11.0,77.8,0.187,,Barclays Center,"524,907","16,403",2020
778,Orlando Magic*,26.1,33.0,40.0,34,39,-1.01,0.09,-0.93,108.5,109.5,-1.0,98.6,0.256,0.364,0.544,,0.506,11.5,22.3,0.198,,0.535,13.2,79.1,0.176,,Amway Center,"529,870","17,093",2020
779,San Antonio Spurs,27.6,32.0,39.0,33,38,-1.11,0.46,-0.65,112.4,113.5,-1.1,100.5,0.262,0.318,0.572,,0.531,11.2,20.1,0.212,,0.542,11.7,79.2,0.193,,AT&T Center,"550,515","18,351",2020
780,Memphis Grizzlies,24.1,34.0,39.0,34,39,-1.07,0.16,-0.91,109.2,110.3,-1.1,102.8,0.24,0.346,0.561,,0.528,13.2,23.0,0.183,,0.521,12.7,77.8,0.217,,FedEx Forum,"523,297","15,857",2020
781,Portland Trail Blazers*,27.5,35.0,39.0,34,40,-1.15,0.54,-0.61,113.7,114.8,-1.1,100.7,0.242,0.374,0.57,,0.533,11.2,22.4,0.194,,0.53,11.2,75.3,0.208,,Moda Center,"628,303","19,634",2020
782,New Orleans Pelicans,25.4,30.0,42.0,33,39,-1.29,0.74,-0.55,110.7,111.9,-1.2,103.7,0.256,0.403,0.568,,0.539,13.9,24.2,0.186,,0.532,12.4,77.8,0.212,,Smoothie King Center,"528,172","16,505",2020
